country_name,slope,y_intercept,volatility,min_year,max_year,got_loan,got_mentioned
afghanistan,7.67501201888635,-14979.183290972978,0.5403440660898953,1960.0,2020.0,0.0,0.0
albania,155.75818922551525,-309491.5229380973,0.3703725863556194,1984.0,2020.0,1.0,1.0
algeria,76.37783724573593,-149825.17777711834,0.5688588125728872,1960.0,2020.0,1.0,1.0
american samoa,228.69132256307287,-449429.9929668367,0.5971264623249493,2002.0,2019.0,0.0,0.0
andorra,918.3608344693286,-1809246.9011986696,0.3851884942318413,1970.0,2019.0,0.0,0.0
angola,104.11885459660196,-206373.94558021709,0.8360592173253426,1980.0,2020.0,1.0,1.0
argentina,206.7081423747937,-406055.0212974239,0.521947217255319,1962.0,2020.0,1.0,1.0
armenia,163.08079758224198,-324857.9745612192,0.3719479173757736,1990.0,2020.0,1.0,1.0
aruba,652.9108225242702,-1286856.2944603425,0.2195492264286534,1986.0,2018.0,0.0,0.0
australia,1034.553124998084,-2036384.175172075,0.4374585242305492,1960.0,2020.0,0.0,1.0
austria,983.52470130078,-1935032.7353490351,0.2613319013136344,1960.0,2020.0,1.0,1.0
azerbaijan,257.0466167028864,-512571.5429649004,0.7194769461370417,1992.0,2020.0,1.0,1.0
bahrain,502.03475328719145,-989132.0136625768,0.3921771841966453,1980.0,2019.0,0.0,0.0
bangladesh,21.227609383947,-41784.5689168278,0.6878361418865635,1960.0,2020.0,1.0,1.0
barbados,383.4385446749568,-755628.7386442357,0.187702230679224,1974.0,2020.0,1.0,1.0
belarus,250.86751496084656,-499249.5332707191,0.5798645939289877,1990.0,2020.0,1.0,1.0
belgium,893.1165942470993,-1756152.7834218184,0.2634047069876689,1960.0,2020.0,0.0,0.0
belize,91.18824376636675,-179109.91684247207,0.183502754694877,1960.0,2020.0,1.0,1.0
benin,20.71850406597485,-40724.73812143702,0.4112555242928302,1960.0,2020.0,0.0,1.0
bermuda,2153.003875795062,-4241844.99300894,0.3412041779589413,1960.0,2019.0,0.0,0.0
bhutan,79.80501307615036,-158320.68716086305,0.4167142647108665,1980.0,2020.0,0.0,0.0
bolivia,47.61462809306618,-93646.11668681315,0.5708339512280798,1960.0,2020.0,1.0,1.0
botswana,144.4531637482289,-284524.9115537124,0.2971667874563407,1960.0,2020.0,1.0,1.0
brazil,182.50089402694667,-359249.0374381765,0.5467690376374711,1960.0,2020.0,1.0,1.0
bulgaria,205.31697285866667,-406524.82004602527,0.6115946387949385,1980.0,2020.0,1.0,1.0
burkina faso,12.20096767613158,-23947.46951699037,0.4459685412913071,1960.0,2020.0,0.0,1.0
burundi,3.1046147462094065,-6011.127462594307,0.8883464959826468,1960.0,2020.0,0.0,0.0
cambodia,18.802937231002957,-36960.23693894527,0.6820784494891844,1960.0,2020.0,0.0,0.0
cameroon,23.582198857962958,-46142.24413417313,0.447446586119798,1960.0,2020.0,1.0,1.0
canada,880.6738418418461,-1730850.9782317097,0.3112509746633673,1960.0,2020.0,0.0,1.0
cayman islands,255.7846079394411,-435373.06861608895,5.549008998781137,2006.0,2019.0,0.0,1.0
chad,12.964553638875891,-25442.55292506476,0.7332798480447323,1960.0,2020.0,1.0,1.0
chile,257.2681791497864,-506790.837251003,0.4938201227007886,1960.0,2020.0,1.0,1.0
china,133.52442506107167,-263788.8388156434,0.7995873658442187,1960.0,2020.0,1.0,1.0
colombia,120.14247332287675,-236577.788542048,0.5051204714762509,1960.0,2020.0,1.0,1.0
comoros,21.81246269495633,-42624.41841334679,0.6433634624717787,1980.0,2020.0,0.0,1.0
costa rica,194.90215189190636,-384077.1070804942,0.4999698855276976,1960.0,2020.0,1.0,1.0
cote d'ivoire,25.76206222219784,-50376.75014115735,0.6574809234222947,1960.0,2020.0,1.0,1.0
croatia,452.8443414176596,-898398.8350365948,0.5924235128556689,1995.0,2020.0,1.0,1.0
cuba,142.31439076998225,-280361.0874429984,0.4857341268558576,1970.0,2019.0,1.0,1.0
cyprus,745.7562267687917,-1473678.0080536413,0.3613439177099565,1975.0,2020.0,1.0,1.0
czech republic,773.0818451275383,-1536773.7316906608,0.3512927573273199,1990.0,2020.0,1.0,1.0
denmark,1273.9108826369695,-2508545.458058248,0.2431532833072704,1966.0,2020.0,0.0,1.0
djibouti,72.46983623025923,-143793.50584666172,0.6526564505986198,1985.0,2020.0,0.0,0.0
dominica,180.54179785606684,-356452.11871003296,0.1576817833987713,1977.0,2020.0,1.0,1.0
dominican republic,124.994223713814,-246239.08283133688,0.450228902403488,1960.0,2020.0,0.0,1.0
ecuador,94.72132755957564,-186102.46763819983,0.5063325662421594,1960.0,2020.0,1.0,1.0
el salvador,73.51709034277854,-144822.85746236276,0.2807781162102338,1965.0,2020.0,1.0,1.0
equatorial guinea,290.88651519668366,-574678.0311600777,0.9727772154952986,1962.0,2020.0,0.0,1.0
eritrea,18.15014915063747,-35962.98151558415,0.4389104117106515,1992.0,2011.0,1.0,1.0
estonia,906.039653345124,-1805969.2111989728,0.2705658042906042,1995.0,2020.0,1.0,1.0
ethiopia,13.914061567875656,-27520.7704430894,0.9832029630008492,1981.0,2020.0,0.0,1.0
faroe islands,2067.7348858608525,-4108790.9279883583,0.2538218416764293,1998.0,2019.0,0.0,0.0
fiji,91.26459248630036,-179293.81936250598,0.3564916327506206,1960.0,2020.0,1.0,1.0
finland,955.8215617047964,-1879753.540301348,0.2778934507565731,1960.0,2020.0,0.0,1.0
france,804.2736360796165,-1580382.7758423877,0.2552689684359311,1960.0,2020.0,1.0,1.0
