country_name,slope,y_intercept,volatility,min_year,max_year
afghanistan,7.67501201888635,-14979.183290972978,0.18471555689647667,1960.0,2020.0
albania,155.75818922551525,-309491.5229380973,19259.04292613863,1984.0,2020.0
algeria,76.37783724573593,-149825.17777711834,0.5140020401805823,1960.0,2020.0
american samoa,228.69132256307287,-449429.99296683667,0.05493334317919238,2002.0,2019.0
andorra,918.3608344693286,-1809246.9011986698,1.180364682607125,1970.0,2019.0
angola,104.11885459660195,-206373.94558021709,2.5065888070459046,1980.0,2020.0
argentina,206.70814237479374,-406055.02129742387,0.8121454680300788,1962.0,2020.0
armenia,163.08079758224198,-324857.9745612192,12.141904108631115,1990.0,2020.0
aruba,652.9108225242702,-1286856.2944603423,0.0625958999109223,1986.0,2018.0
australia,1034.553124998084,-2036384.175172075,0.5922262039988058,1960.0,2020.0
austria,983.5247013007801,-1935032.7353490351,0.41308250981222133,1960.0,2020.0
azerbaijan,257.0466167028864,-512571.5429649004,0.7690083516724562,1992.0,2020.0
bahrain,502.03475328719145,-989132.0136625767,0.17871317165980122,1980.0,2019.0
bangladesh,21.227609383947,-41784.5689168278,1.073927761780111,1960.0,2020.0
barbados,383.43854467495674,-755628.7386442357,0.06816333354970712,1974.0,2020.0
belarus,250.86751496084656,-499249.53327071905,3.564156816871681,1990.0,2020.0
belgium,893.1165942470993,-1756152.7834218184,0.45948641280476243,1960.0,2020.0
belize,91.18824376636675,-179109.91684247207,0.7437127832063861,1960.0,2020.0
benin,20.718504065974855,-40724.73812143702,0.8337535729584726,1960.0,2020.0
bermuda,2153.003875795062,-4241844.99300894,0.5952025271853216,1960.0,2019.0
bhutan,79.80501307615036,-158320.68716086305,1.3466795549356623,1980.0,2020.0
bolivia,47.61462809306618,-93646.11668681317,0.8066989008327995,1960.0,2020.0
botswana,144.4531637482289,-284524.9115537124,0.4119285917602277,1960.0,2020.0
brazil,182.50089402694667,-359249.0374381765,0.5244158543104339,1960.0,2020.0
bulgaria,205.31697285866667,-406524.82004602527,20.322356506976128,1980.0,2020.0
burkina faso,12.20096767613158,-23947.469516990375,0.9711911901617283,1960.0,2020.0
burundi,3.1046147462094065,-6011.127462594307,0.2575349714170267,1960.0,2020.0
cambodia,18.802937231002954,-36960.236938945265,1.5905175113711736,1960.0,2020.0
cameroon,23.582198857962954,-46142.24413417313,0.22969000036767626,1960.0,2020.0
canada,880.6738418418461,-1730850.9782317095,0.5411961465405263,1960.0,2020.0
cayman islands,255.7846079394411,-435373.06861608895,0.06486625046286136,2006.0,2019.0
chad,12.964553638875891,-25442.55292506476,1.2331275194356104,1960.0,2020.0
chile,257.26817914978636,-506790.837251003,1.184008162645327,1960.0,2020.0
china,133.52442506107167,-263788.8388156434,0.8177328511889221,1960.0,2020.0
colombia,120.14247332287675,-236577.78854204802,0.8137584485500503,1960.0,2020.0
comoros,21.81246269495633,-42624.41841334679,0.14964114766326458,1980.0,2020.0
costa rica,194.90215189190633,-384077.1070804942,0.7111627459627073,1960.0,2020.0
cote d'ivoire,25.762062222197837,-50376.75014115735,0.2442609679633224,1960.0,2020.0
croatia,452.84434141765956,-898398.8350365948,0.15543407182928956,1995.0,2020.0
cuba,142.31439076998225,-280361.0874429984,7.961974237104019,1970.0,2019.0
cyprus,745.7562267687917,-1473678.0080536413,0.6481779745304945,1975.0,2020.0
czech republic,773.0818451275383,-1536773.7316906608,0.1782456618508091,1990.0,2020.0
denmark,1273.9108826369695,-2508545.4580582473,0.5652109906795003,1966.0,2020.0
djibouti,72.46983623025923,-143793.50584666172,0.7749690749935714,1985.0,2020.0
dominica,180.54179785606684,-356452.11871003296,0.0693354448101093,1977.0,2020.0
dominican republic,124.994223713814,-246239.08283133688,12.231486038275815,1960.0,2020.0
ecuador,94.72132755957563,-186102.46763819986,0.8596482030526162,1960.0,2020.0
el salvador,73.51709034277854,-144822.85746236276,1.4155239564222164,1965.0,2020.0
equatorial guinea,290.88651519668366,-574678.0311600777,0.9125412599341505,1962.0,2020.0
eritrea,18.15014915063747,-35962.98151558415,0.09672124658095425,1992.0,2011.0
estonia,906.039653345124,-1805969.2111989732,0.17198007893430975,1995.0,2020.0
ethiopia,13.914061567875656,-27520.770443089397,0.6741567580374885,1981.0,2020.0
faroe islands,2067.7348858608525,-4108790.9279883583,0.06690872173532875,1998.0,2019.0
fiji,91.26459248630036,-179293.81936250598,0.5451345169895074,1960.0,2020.0
finland,955.8215617047963,-1879753.540301348,0.45473818451588516,1960.0,2020.0
france,804.2736360796165,-1580382.7758423877,2.545769038811862,1960.0,2020.0
french polynesia,522.9147041971775,-1027153.1324120227,0.3019600262579612,1965.0,2000.0
gabon,145.46910704170074,-284912.3894353443,0.3015491770548764,1960.0,2020.0
georgia,174.3486774695015,-347297.07216089027,0.45786375239112825,1990.0,2020.0
germany,976.1734225595313,-1922226.7012313372,0.18027322533874604,1970.0,2020.0
ghana,28.365234084985396,-55788.1633778641,1.552766215712989,1960.0,2020.0
greece,453.52635874875267,-891634.0610820942,13.578658776185318,1960.0,2020.0
greenland,1091.651855395923,-2154477.68355817,0.5575939747486772,1970.0,2018.0
grenada,231.08587587271137,-456903.9206143267,0.6409840921125696,1977.0,2020.0
guam,936.7884850120628,-1852534.1321278773,0.021929553885554173,2002.0,2019.0
guatemala,66.38822535879467,-130522.65252588851,1.904506259213333,1960.0,2020.0
guinea,17.459249537868587,-34397.74266266431,0.17979036267841492,1986.0,2020.0
guyana,94.14695290674004,-185609.56873388303,1.0160364445469285,1960.0,2020.0
