,Year,loan_amount,Country,world_region,GDP,Stability
105,1990,63000000.0,algeria,northern africa,62048562947.0,
106,1990,90000000.0,honduras,latin amer. & carib,4923009552.0,
107,1990,17000000.0,tunisia,northern africa,12290568182.0,
108,1990,12000000.0,tunisia,northern africa,12290568182.0,
109,1990,450000000.0,mexico,latin amer. & carib,261000000000.0,
110,1990,32000000.0,algeria,northern africa,62048562947.0,
111,1990,26000000.0,algeria,northern africa,62048562947.0,
112,1990,14500000.0,zimbabwe,sub-saharan africa,8783816700.0,
113,1990,148500000.0,pakistan,asia (ex. near east),40010423970.0,
114,1990,10000000.0,india,asia (ex. near east),321000000000.0,
115,1991,180000000.0,mexico,latin amer. & carib,313000000000.0,
116,1991,20000000.0,india,asia (ex. near east),270000000000.0,
117,1991,218000000.0,niger,sub-saharan africa,3285796980.0,
118,1991,150000000.0,hungary,eastern europe,34753569693.0,
119,1991,310000000.0,brazil,latin amer. & carib,603000000000.0,
120,1991,15000000.0,philippines,asia (ex. near east),45417561302.0,
121,1991,100000000.0,turkey,near east,150000000000.0,
122,1991,300000000.0,argentina,latin amer. & carib,190000000000.0,
123,1991,23000000.0,argentina,latin amer. & carib,190000000000.0,
124,1991,200000000.0,poland,eastern europe,85500935935.0,
125,1991,9500000.0,morocco,northern africa,32285388165.0,
126,1991,8500000.0,morocco,northern africa,32285388165.0,
127,1991,8500000.0,morocco,northern africa,32285388165.0,
128,1991,13500000.0,morocco,northern africa,32285388165.0,
129,1991,19500000.0,morocco,northern africa,32285388165.0,
130,1991,29500000.0,morocco,northern africa,32285388165.0,
131,1991,11500000.0,morocco,northern africa,32285388165.0,
132,1991,9500000.0,morocco,northern africa,32285388165.0,
133,1991,125000000.0,morocco,northern africa,32285388165.0,
134,1991,100000000.0,algeria,northern africa,45715614560.0,
135,1991,70000000.0,niger,sub-saharan africa,3285796980.0,
136,1991,100000000.0,japan,asia (ex. near east),3580000000000.0,
137,1991,275000000.0,indonesia,asia (ex. near east),117000000000.0,
138,1991,275000000.0,indonesia,asia (ex. near east),117000000000.0,
139,1991,250000000.0,tunisia,northern africa,13074782609.0,
140,1991,45000000.0,china,asia (ex. near east),383000000000.0,
141,1991,250000000.0,india,asia (ex. near east),270000000000.0,
142,1991,23000000.0,costa rica,latin amer. & carib,7196276092.0,
143,1991,12370000.0,mauritius,sub-saharan africa,2856890681.0,
144,1991,31000000.0,egypt,northern africa,37387836491.0,
145,1991,150000000.0,brazil,latin amer. & carib,603000000000.0,
146,1991,65000000.0,algeria,northern africa,45715614560.0,
147,1991,13000000.0,india,asia (ex. near east),270000000000.0,
148,1991,300000000.0,brazil,latin amer. & carib,603000000000.0,
149,1991,38600000.0,zimbabwe,sub-saharan africa,8641481700.0,
150,1991,221700000.0,indonesia,asia (ex. near east),117000000000.0,
151,1991,50000000.0,china,asia (ex. near east),383000000000.0,
152,1991,300000000.0,mexico,latin amer. & carib,313000000000.0,
153,1991,175000000.0,philippines,asia (ex. near east),45417561302.0,
154,1991,79400000.0,china,asia (ex. near east),383000000000.0,
155,1991,47600000.0,algeria,northern africa,45715614560.0,
156,1991,12700000.0,algeria,northern africa,45715614560.0,
157,1991,29200000.0,algeria,northern africa,45715614560.0,
158,1991,5000000.0,algeria,northern africa,45715614560.0,
159,1991,5000000.0,algeria,northern africa,45715614560.0,
160,1991,79400000.0,china,asia (ex. near east),383000000000.0,
161,1991,280000000.0,poland,eastern europe,85500935935.0,
162,1991,100000000.0,poland,eastern europe,85500935935.0,
163,1991,158000000.0,philippines,asia (ex. near east),45417561302.0,
164,1991,150000000.0,philippines,asia (ex. near east),45417561302.0,
165,1991,380000000.0,china,asia (ex. near east),383000000000.0,
166,1991,200000000.0,india,asia (ex. near east),270000000000.0,
167,1991,15000000.0,jordan,near east,4344250257.0,
168,1991,17000000.0,bulgaria,eastern europe,10943548387.0,
169,1991,25000000.0,zimbabwe,sub-saharan africa,8641481700.0,
170,1991,450000000.0,czech republic,eastern europe,29859921159.0,
171,1991,450000000.0,czech republic,eastern europe,29859921159.0,
172,1991,450000000.0,slovakia,eastern europe,14272201755.0,
173,1991,36300000.0,pakistan,asia (ex. near east),45625234698.0,
174,1991,100000000.0,poland,eastern europe,85500935935.0,
175,1991,180000000.0,oman,near east,11341482445.0,
176,1991,250000000.0,hungary,eastern europe,34753569693.0,
177,1991,124000000.0,india,asia (ex. near east),270000000000.0,
178,1991,23000000.0,india,asia (ex. near east),270000000000.0,
179,1991,100000000.0,china,asia (ex. near east),383000000000.0,
180,1991,114000000.0,morocco,northern africa,32285388165.0,
181,1991,114000000.0,morocco,northern africa,32285388165.0,
182,1991,147100000.0,china,asia (ex. near east),383000000000.0,
183,1991,30000000.0,cyprus,near east,5770197348.0,
184,1991,350000000.0,algeria,northern africa,45715614560.0,
185,1991,350000000.0,mexico,latin amer. & carib,313000000000.0,
186,1991,400000000.0,mexico,latin amer. & carib,313000000000.0,
187,1991,100000000.0,poland,eastern europe,85500935935.0,
188,1991,100000000.0,poland,eastern europe,85500935935.0,
189,1991,100000000.0,poland,eastern europe,85500935935.0,
190,1991,100000000.0,poland,eastern europe,85500935935.0,
191,1991,10000000.0,mauritius,sub-saharan africa,2856890681.0,
192,1991,20000000.0,india,asia (ex. near east),270000000000.0,
193,1991,75000000.0,el salvador,latin amer. & carib,5252342400.0,
194,1991,150000000.0,china,asia (ex. near east),383000000000.0,
195,1991,20800000.0,guinea,sub-saharan africa,3015058139.0,
196,1991,250000000.0,iran,asia (ex. near east),,
197,1991,30000000.0,jamaica,latin amer. & carib,4106199176.0,
198,1991,10000000.0,jordan,near east,4344250257.0,
199,1991,30000000.0,tunisia,northern africa,13074782609.0,
200,1991,26000000.0,tunisia,northern africa,13074782609.0,
201,1991,16000000.0,algeria,northern africa,45715614560.0,
202,1991,120000000.0,germany,western europe,1870000000000.0,
203,1991,104000000.0,indonesia,asia (ex. near east),117000000000.0,
204,1991,150000000.0,indonesia,asia (ex. near east),117000000000.0,
205,1991,180300000.0,indonesia,asia (ex. near east),117000000000.0,
206,1991,104000000.0,indonesia,asia (ex. near east),117000000000.0,
207,1991,125000000.0,indonesia,asia (ex. near east),117000000000.0,
208,1991,15500000.0,indonesia,asia (ex. near east),117000000000.0,
209,1991,75000000.0,croatia,eastern europe,,
210,1991,60000000.0,slovenia,eastern europe,,
211,1991,22000000.0,macedonia,eastern europe,4938775510.0,
212,1991,55000000.0,serbia,eastern europe,,
213,1991,33000000.0,morocco,northern africa,32285388165.0,
214,1991,99000000.0,morocco,northern africa,32285388165.0,
215,1991,300000000.0,egypt,northern africa,37387836491.0,
216,1991,30000000.0,china,asia (ex. near east),383000000000.0,
