filename,loan_amount,currency
1990_july_6_503881468258537286_conformed-copy--l3219--second-jabotabek-urban-development-project--loan-agreement.txt,190000000,$
"1990_july_9_410981468296958954_conformed-copy--l3242--first-water-supply,-sewerage-and-sanitation-project--loan-agreement.txt",85000000,$
1990_july_9_673731468058475489_conformed-copy--l3244--second-elementary-education-project--loan-agreement.txt,200000000,$
1990_june_11_214151468298750915_conformed-copy--l3193--transport-project--railways--loan-agreement.txt,8000000,$
1990_june_12_458961468100490988_pakistan--agricultural-credit-project-_-loan-3226--loan-agreement--conformed.txt,148500000,$
1990_june_13_408031468034196200_conformed-copy--l3196--cement-industry-restructuring-project--loan-agreement.txt,300000000,$
1990_june_15_203121469672154938_conformed-copy--l3156--second-forestry-development-project--loan-agreement.txt,200000000,$
1990_june_15_954141468273920553_conformed-copy--l3171--health-sector-investment-project--loan-agreement.txt,104000000,$
1990_june_1_383111468034156865_conformed-copy--l3191--financial-system-modernization-project--loan-agreement.txt,66000000,$
1990_june_21_438011468254703429_conformed-copy--l3228--structural-adjustment-loan--loan-agreement.txt,200000000,$
1990_june_21_552091468292537231_conformed-copy--l3183--national-seed-and-quarantine-project--loan-agreement.txt,14000000,$
1990_june_22_418341468249703395_conformed-copy--l3188--housing-project--loan-agreement.txt,16200000,$
1990_june_28_166721468033245385_conformed-copy--l3240--water-supply-and-sanitation-sector-adjustment-loan--loan-agreement.txt,80000000,$
1990_june_29_129481468286469491_conformed-copy--l3154--third-telecommunications-project--loan-agreement.txt,17200000,$
1990_june_29_294071468252014855_conformed-copy--l3229--integrated-agricultural-export-project--loan-agreement.txt,100000000,$
1990_june_4_230091468332700242_conformed-copy--l3204--small-coconut-farms-development-project--loan-agreement.txt,121800000,$
1990_june_5_910361468086043431_conformed-copy--l3208--telecommunications-technical-assistance-project--loan-agreement.txt,22000000,$
1990_june_5_933681468053339710_conformed-copy--l3207--road-transport-and-telecommunications-sector-adjustment-loan--loan-agreement.txt,380000000,$
1990_march_15_704421468273921132_conformed-copy--l3168--highway-sector-project--loan-agreement.txt,79000000,$
1990_march_16_109471468295806860_conformed-copy--l3165--energy-sector-project.txt,40000000,$
1990_march_16_199991468095349240_conformed-copy--l3163--energy-sector-project--npc-loan-agreement.txt,200000000,$
1990_march_16_762811468295511627_conformed-copy--l3164--energy-sector-project--pnoc-loan-agreement.txt,150000000,$
1990_march_23_384511468039855037_conformed-copy--l3174--agricultural-sector-adjustment-loan--loan-agreement.txt,25000000,$
1990_march_29_641961468233042923_conformed-copy--l3162--fourth-small-scale-enterprise-project--loan-agreement.txt,50000000,$
1990_march_30_378911468334766268_conformed-copy--l3161--third-regional-development-project--loan-agreement.txt,15000000,$
1990_march_30_406771468338061081_conformed-copy--l3177--second-agricultural-extension-and-applied-research-project--loan-agreement.txt,63000000,$
1990_march_7_599581468028798895_conformed-copy--l3157--second-rural-roads-sector-project--loan-agreement.txt,55000000,$
1990_may_18_631461468313480210_conformed-copy--l3192--national-education-development-project--loan-agreement.txt,90200000,$
1990_may_18_754281468085445130_conformed-copy--l3104--refineries-rehabilitation-project--loan-agreement.txt,27700000,$
1990_may_1_928591468034780312_india--technical-education-project-_-loan-3195--loan-agreement--conformed.txt,25000000,$
1990_may_23_981431468034488150_conformed-copy--c2115--hyderabad-water-supply-and-sanitation-project--loan-agreement.txt,10000000,$
1990_may_4_672831468303835056_conformed-copy--l3187--second-structural-adjustment-loan--loan-agreement.txt,400000000,$
1990_may_7_111051468332980397_conformed-copy--l3125--essential-drugs-project--loan-agreement.txt,68100000,$
1990_may_7_597241468056655874_conformed-copy--l3132--second-highways-project--loan-agreement.txt,30000000,$
1990_may_8_403111468023402330_conformed-copy--l3071--agricultural-storage-project--loan-agreement.txt,40000000,$
1990_november_13_110501468164647843_conformed-copy--l3068--seventh-railway-project--loan-agreement-2.txt,31900000,$
1990_november_13_253961468300588338_conformed-copy--l3068--seventh-railway-project--loan-agreement-4.txt,32500000,$
1990_november_13_305991468107076757_conformed-copy--l3068--seventh-railway-project--loan-agreement-1.txt,43200000,$
1990_november_13_616181468093594391_conformed-copy--l3068--seventh-railway-project--loan-agreement-3.txt,14600000,$
1990_november_2_818541468289795819_conformed-copy--l3116--power-system-maintenance-and-rehabilitation-project--loan-agreement.txt,70000000,$
1990_november_30_122571468043744539_conformed-copy--l3267--second-private-sector-development-loan--loan-agreement.txt,250000000,$
1990_november_7_123971468052804464_conformed-copy--l3258--second-petrochemicals-development-project--loan-agreement.txt,12000000,$
1990_november_7_342581468033677831_conformed-copy--l3259-second-petrochemicals-development-project--loan-agreement.txt,233000000,$
1990_november_8_384401468332700618_conformed-copy--l3263--earthquake-reconstruction-project--loan-agreement.txt,125000000,$
1990_november_8_543741468059064750_conformed-copy--l3261--second-communal-irrigation-development-project--loan-agreement.txt,46200000,$
1990_october_12_542521468097197848_conformed-copy--l3126--tree-crops-project--loan-agreement.txt,106000000,$
1990_october_15_849541468121736492_conformed-copy--l3224--financial-sector-adjustment-loan--loan-agreement.txt,300000000,$
1990_october_1_416071468234864951_conformed-copy--l3251--women-in-development-project--loan-agreement.txt,2200000,$
1990_october_22_516041468097193489_conformed-copy--l3252--corporate-restructuring-and-system-expansion-project--loan-agreement.txt,130000000,$
1990_october_22_687691468332672382_conformed-copy--l3252--corporate-restructuring-and-system-expansion-project--agreement-amending-loan-agreement.txt,190000000,$
1990_october_23_672891468035099877_conformed-copy--c2133--seventh-population-project--loan-agreement.txt,10000000,$
1990_october_23_719821468253857318_conformed-copy--c2179--andhra-pradesh-cyclone-emergency-reconstruction-project--loan-agreement.txt,40000000,$
1990_october_23_748681468034486123_conformed-copy--c2173--integrated-child-development-services-project--loan-agreement.txt,10000000,$
1990_october_29_223181468249661880_conformed-copy--l3264--second-telecommunications-project--loan-agreement.txt,150000000,$
1990_october_30_387091468230120146_china--fourth-rural-credit-report-_-credit-2182--loan-agreement--conformed.txt,75000000,$
1990_october_3_182781468034489430_conformed-copy--l3239--private-power-utilities-tec-project--loan-agreement.txt,98000000,$
1990_october_3_197341468033545264_conformed-copy--l3237--northern-region-transmission-project--loan-agreement.txt,485000000,$
1990_september_12_251241468026048559_conformed-copy--l3222--limassol-amathus-sewerage-and-drainage-project--loan-agreement.txt,25000000,$
1990_september_12_829791468006280842_conformed-copy--l3248--tuli-block-roads-project--loan-agreement.txt,14900000,$
1990_september_17_165551468003302798_conformed-copy--l3105--third-ports-project--loan-agreement.txt,63000000,$
1990_september_17_765251468036320802_conformed-copy--l3257--second-structural-adjustment-loan--loan-agreement.txt,90000000,$
1990_september_24_172681468175480879_conformed-copy--l3217--agricultural-research-and-extension-project--loan-agreement.txt,17000000,$
1990_september_24_975141468110676652_conformed-copy--l3255--employment-and-training-fund-project--loan-agreement.txt,12000000,$
1990_september_25_158241468270309119_conformed-copy--l3189--transmission-and-distribution-project--loan-agreement.txt,450000000,$
1990_september_26_150131468010235627_conformed-copy--l3216--agricultural-research-and-pilot-extension-project--loan-agreement.txt,32000000,$
1990_september_26_546681468211454433_conformed-copy--l3176--technical-assistance-project--loan-agreement.txt,26000000,$
1990_september_27_694611468337267675_conformed-copy--l3179--forest-resources-management-and-development-project--loan-agreement.txt,14500000,$
1990_september_28_795991468145154325_conformed-copy--c2153--agricultural-credit-project--loan-agreement.txt,148500000,$
1990_september_4_804011468034780583_india--integrated-child-development-services-project-_-loan-3253--loan-agreement--conformed.txt,10000000,$
1991_april_12_857221468270307403_conformed-copy--l3272--basic-health-care-project--loan-agreement.txt,180000000,$
1991_april_17_657171468052436275_conformed-copy--c2215--agricultural-development-project--tamil-nadu--loan-agreement.txt,20000000,$
1991_april_24_247291468293118064_conformed-copy--l3317--oso-condensate-field-development-project--loan-agreement.txt,218000000,$
1991_april_29_620661468034157107_conformed-copy--l3313--human-resources-development-project--loan-agreement.txt,150000000,$
1991_april_30_470981468005697913_conformed-copy--l3169--highways-management-and-rehabilitation-project--loan-agreement.txt,310000000,$
1991_april_4_401941468059065368_conformed-copy--l3312--cottage-enterprise-finance-project--loan-agreement.txt,15000000,$
1991_april_5_449721468114233978_conformed-copy--l3296--technology-development-project--loan-agreement.txt,100000000,$
1991_april_8_146261468202131867_conformed-copy--l3291--public-enterprise-reform-adjustment-loan--loan-agreement.txt,300000000,$
1991_april_8_875461468194069317_conformed-copy--l3292--public-enterprise-reform-execution-project--loan-agreement.txt,23000000,$
1991_august_14_384731468295198725_conformed-copy--l3341--financial-institutions-development-loan--loan-agreement.txt,200000000,$
