Filename,Year,loan_amount,Country,Region,Elec,GDPpC,Lit,Gini,Stability
1990_april_25_904191468298750561_conformed-copy--l3190--environment-management-project--loan-agreement.txt,1990,18000000.0,poland,eastern europe,100.0,6170.249054,98.74273682,39.3,0.5999946751863678
1990_april_30_410811468040573756_conformed-copy--l3180--rural-electrification-project--loan-agreement.txt,1990,329000000.0,indonesia,asia (ex. near east),63.78855414743839,3082.082407,81.51985168,31.2,-2.3874094781682516
1990_april_30_725911468042268845_conformed-copy--l3182--third-telecommunications-project--loan-agreement.txt,1990,350000000.0,peru,latin amer. & carib,60.89364313360147,3361.406815,84.55622168775199,41.38,-1.3888972310969194
1990_april_5_790191468211457471_conformed-copy--l3076--west-mitidja-irrigation-project--loan-agreement.txt,1990,110000000.0,algeria,northern africa,97.57584778064104,6916.495704000001,54.88241630087282,39.5,-1.8961256656017156
1990_august_13_930351468250521631_conformed-copy--c2130--technician-education-project--loan-agreement.txt,1990,25000000.0,india,asia (ex. near east),41.23965400653651,1201.668486,48.79758390756206,42.879999999999995,-1.321757188498406
1990_august_15_230091468052775099_conformed-copy--l3246--third-jabotabek-urban-development-project--loan-agreement.txt,1990,61000000.0,indonesia,asia (ex. near east),63.78855414743839,3082.082407,81.51985168,31.2,-2.3874094781682516
1990_august_16_465311468313479511_conformed-copy--l3151--ankara-sewerage-project--loan-agreement.txt,1990,173000000.0,turkey,near east,100.0,8509.535131999999,79.23245239,36.4,-0.5032012779552701
1990_august_16_846341468313225526_conformed-copy--l3057--health-project--loan-agreement.txt,1990,75000000.0,turkey,near east,100.0,8509.535131999999,79.23245239,36.4,-0.5032012779552701
1990_august_1_365931468028798634_conformed-copy--l3201--community-child-care-and-nutrition-project--loan-agreement.txt,1990,24000000.0,colombia,latin amer. & carib,89.9,5012.2213409999995,90.16772948507165,31.639999999999997,-2.5853200212992675
1990_august_22_783181468252586159_conformed-copy--c2131--integrated-watershed-development-plains-project--loan-agreement.txt,1990,7000000.0,india,asia (ex. near east),41.23965400653651,1201.668486,48.79758390756206,42.879999999999995,-1.321757188498406
1990_august_24_445361468285898367_conformed-copy--l3218--structural-adjustment-loan--loan-agreement.txt,1990,50000000.0,guinea,sub-saharan africa,2.1837344162727277,883.1079783,16.812167714974066,39.46,-1.7388242811501584
1990_august_31_832451468296115700_conformed-copy--l3247--structural-adjustment-loan--loan-agreement.txt,1990,300000000.0,poland,eastern europe,100.0,6170.249054,98.74273682,39.3,0.5999946751863678
1990_august_3_582271468012059093_conformed-copy--l3206--social-dimensions-of-adjustment-project--loan-agreement.txt,1990,21500000.0,cameroon,sub-saharan africa,30.429454814433484,1855.409384,55.225189298571195,33.2,-0.13884504792331143
1990_august_7_199201468334783713_conformed-copy--l3079--urban-sector-and-regional-development-project--loan-agreement.txt,1990,80000000.0,zimbabwe,sub-saharan africa,30.105201274414412,1773.741334,80.95918417641718,33.2,-1.2279211927582558
1990_december_10_126961468289797194_conformed-copy--l3236--telecommunications-project--loan-agreement.txt,1990,225000000.0,niger,sub-saharan africa,2.312999555284023,763.7721253999999,7.3339478503826285,36.67999999999999,0.577768370607032
1990_december_10_441561468020974222_conformed-copy--c2182--fourth-rural-credit-project--loan-agreement.txt,1990,75000000.0,china,asia (ex. near east),95.64549458480451,982.5008703,77.78505707,32.2,-0.34019755058572976
1990_december_12_315411468043440043_conformed-copy--l3275--road-infrastructure-planning-and-maintenance-project--loan-agreement.txt,1990,35000000.0,jamaica,latin amer. & carib,70.334586,4765.937623,75.01219330200001,41.1,-0.40812513312034326
1990_december_14_325161468302998577_conformed-copy--l3279--interest-support-loan--loan-agreement.txt,1990,150000000.0,venezuela,latin amer. & carib,98.1287496806185,9600.958962,89.82524872,44.66,-0.7960255591054306
1990_december_28_821301468240310549_conformed-copy--l3278--public-sector-reform-loan--loan-agreement.txt,1990,304000000.0,colombia,latin amer. & carib,89.9,5012.2213409999995,90.16772948507165,31.639999999999997,-2.5853200212992675
1990_february_12_603871468052164505_conformed-copy--l3158--second-secondary-education-and-management-project--loan-agreement.txt,1990,154200000.0,indonesia,asia (ex. near east),63.78855414743839,3082.082407,81.51985168,31.2,-2.3874094781682516
1990_february_16_554991468238775083_conformed-copy--l3102--water-sector-project-in-the-state-of-sao-paulo--loan-agreement.txt,1990,280000000.0,brazil,latin amer. & carib,87.475116,6701.208954,80.86344658171697,60.5,0.12454685835996315
1990_february_1_537611468095360158_west-africa--third-regional-development-project-_-loan-3161--loan-agreement--conformed.txt,1990,15000000.0,togo,sub-saharan africa,-0.46669339076788674,833.476612,45.21799100517842,36.67999999999999,-0.24151384451543834
1990_february_1_553321468248955526_conformed-copy--l3069--slovene-coast-water-supply-and-sewerage-project--loan-agreement-2.txt,1990,32000000.0,iran,asia (ex. near east),96.80127273143609,7201.776852,59.84558144909397,43.6,-0.3836033013844542
1990_february_22_262671468094782907_conformed-copy--l3166--industrial-export-development-project--loan-agreement.txt,1990,260000000.0,poland,eastern europe,100.0,6170.249054,98.74273682,39.3,0.5999946751863678
1990_february_22_466461468296115371_conformed-copy--l3167--agroindustries-export-development-project--loan-agreement.txt,1990,100000000.0,poland,eastern europe,100.0,6170.249054,98.74273682,39.3,0.5999946751863678
1990_february_2_422441468292518842_conformed-copy--l3147--transmission-extension-and-reinforcement-project--loan-agreement.txt,1990,162000000.0,pakistan,asia (ex. near east),69.21742182120836,1923.528757,36.55128984023804,33.2,-0.8654361022364299
1990_february_2_586931468145152507_conformed-copy--c2078--rural-electrification-project--loan-agreement.txt,1990,123000000.0,pakistan,asia (ex. near east),69.21742182120836,1923.528757,36.55128984023804,33.2,-0.8654361022364299
1990_february_2_954651468026689066_conformed-copy--l3103--fourth-power-project--loan-agreement.txt,1990,165000000.0,egypt,northern africa,95.00887765530928,3713.488846,50.702308782064165,32.0,0.26734504792334235
1990_february_4_788911468053944931_conformed-copy--l3159--interest-support-loan--loan-agreement.txt,1990,1260000000.0,mexico,latin amer. & carib,94.9698758600274,8081.835771999999,87.55615234,59.6,-0.2214435569755011
1990_february_7_165011468011151104_conformed-copy--l3143--financial-markets-project--loan-agreement.txt,1990,130000000.0,chile,latin amer. & carib,92.257427,4511.172098,93.45639953408045,57.2,0.7919014909478186
1990_february_7_214111468059951800_conformed-copy--l3136--industrial-finance-project--loan-agreement-2.txt,1990,12000000.0,morocco,northern africa,51.14592463809504,2549.079953,37.421385102119075,39.2,-0.10579179978700282
1990_february_7_236061468274189148_conformed-copy--l3136--industrial-finance-project--loan-agreement-6.txt,1990,5000000.0,morocco,northern africa,51.14592463809504,2549.079953,37.421385102119075,39.2,-0.10579179978700282
1990_february_7_408261468059043876_conformed-copy--l3136--industrial-finance-project--loan-agreement-5.txt,1990,12000000.0,morocco,northern africa,51.14592463809504,2549.079953,37.421385102119075,39.2,-0.10579179978700282
1990_february_7_484641468287378263_conformed-copy--l3136--industrial-finance-project--loan-agreement-7.txt,1990,9000000.0,morocco,northern africa,51.14592463809504,2549.079953,37.421385102119075,39.2,-0.10579179978700282
1990_february_7_816671468053053986_conformed-copy--l3136--industrial-finance-project--loan-agreement-3.txt,1990,25000000.0,morocco,northern africa,51.14592463809504,2549.079953,37.421385102119075,39.2,-0.10579179978700282
1990_february_7_995471468120545067_conformed-copy--l3136--industrial-finance-project--loan-agreement-4.txt,1990,40000000.0,morocco,northern africa,51.14592463809504,2549.079953,37.421385102119075,39.2,-0.10579179978700282
1990_february_9_411291468033294428_conformed-copy--c2076--punjab-irrigation-and-drainage-project--loan-agreement.txt,1990,15000000.0,india,asia (ex. near east),41.23965400653651,1201.668486,48.79758390756206,42.879999999999995,-1.321757188498406
1990_january_10_784351468234894668_conformed-copy--l3130--third-agricultural-research-project--loan-agreement.txt,1990,47000000.0,brazil,latin amer. & carib,87.475116,6701.208954,80.86344658171697,60.5,0.12454685835996315
1990_january_11_125511468051878371_conformed-copy--l3145--highway-rehabilitation-and-improvement-project--loan-agreement.txt,1990,83200000.0,malaysia,asia (ex. near east),97.99638303018183,6818.401981999999,79.45583980683023,52.9,0.4171427050053218
1990_january_11_891941468049466312_conformed-copy--l3139--rubber-industry-smallholders-development-authority-project--loan-agreement.txt,1990,71000000.0,malaysia,asia (ex. near east),97.99638303018183,6818.401981999999,79.45583980683023,52.9,0.4171427050053218
1990_january_19_603521468295511275_conformed-copy--l3146--second-municipal-development-project--loan-agreement.txt,1990,40000000.0,philippines,asia (ex. near east),63.618564093581426,2665.119919,93.57389832,38.7,-1.0850197018104364
1990_january_23_531161468272091367_conformed-copy--l3141--second-agricultural-marketing-project--loan-agreement.txt,1990,100000000.0,mexico,latin amer. & carib,94.9698758600274,8081.835771999999,87.55615234,59.6,-0.2214435569755011
