Filename,Year,loan_amount,Country,Region,Elec,GDPpC,Lit,Gini,Stability,Population,Area (sq. mi.),label0,label1,label2,label3,label4,label5,label6,label7,label8,label9,label10,final_label
1990_february_1_553321468248955526_conformed-copy--l3069--slovene-coast-water-supply-and-sewerage-project--loan-agreement-2.txt,1990,32000000.0,iran,asia (ex. near east),92.88,7201.776852,85.992097472,43.6,-0.914,68688433.0,1648000.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0
1990_february_22_262671468094782907_conformed-copy--l3166--industrial-export-development-project--loan-agreement.txt,1990,260000000.0,poland,eastern europe,100.0,6170.249054,90.032054138,39.3,-0.418,38536869.0,312685.0,0.0,0.0,0.0,0.0,0.0,0.9999999875526556,0.0,0.0,0.0,0.0,0.0,5.0
1990_february_22_466461468296115371_conformed-copy--l3167--agroindustries-export-development-project--loan-agreement.txt,1990,100000000.0,poland,eastern europe,100.0,6170.249054,90.032054138,39.3,-0.418,38536869.0,312685.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,5.0
1990_february_2_422441468292518842_conformed-copy--l3147--transmission-extension-and-reinforcement-project--loan-agreement.txt,1990,162000000.0,pakistan,asia (ex. near east),40.532853088,1923.528757,63.04616661,33.2,-0.942,165803560.0,803940.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,7.0
1990_february_2_954651468026689066_conformed-copy--l3103--fourth-power-project--loan-agreement.txt,1990,165000000.0,egypt,northern africa,100.0,3713.488846,75.91850890999999,32.0,-0.15,78887007.0,1001450.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,7.0
1990_february_4_788911468053944931_conformed-copy--l3159--interest-support-loan--loan-agreement.txt,1990,1260000000.0,mexico,latin amer. & carib,91.728598,8081.835771999999,87.55615234,59.6,-0.72,107449525.0,1972550.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1990_february_7_165011468011151104_conformed-copy--l3143--financial-markets-project--loan-agreement.txt,1990,130000000.0,chile,latin amer. & carib,92.257427,4511.172098,74.78235778800001,57.2,-0.776,16134219.0,756950.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,5.0
1990_february_7_214111468059951800_conformed-copy--l3136--industrial-finance-project--loan-agreement-2.txt,1990,12000000.0,morocco,northern africa,72.45691039799999,2549.079953,94.587634282,39.2,-1.1679999999999997,33241259.0,446550.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,5.0
1990_february_7_236061468274189148_conformed-copy--l3136--industrial-finance-project--loan-agreement-6.txt,1990,5000000.0,morocco,northern africa,72.45691039799999,2549.079953,94.587634282,39.2,-1.1679999999999997,33241259.0,446550.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,5.0
1990_february_7_408261468059043876_conformed-copy--l3136--industrial-finance-project--loan-agreement-5.txt,1990,12000000.0,morocco,northern africa,72.45691039799999,2549.079953,94.587634282,39.2,-1.1679999999999997,33241259.0,446550.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,5.0
1990_february_7_484641468287378263_conformed-copy--l3136--industrial-finance-project--loan-agreement-7.txt,1990,9000000.0,morocco,northern africa,72.45691039799999,2549.079953,94.587634282,39.2,-1.1679999999999997,33241259.0,446550.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,5.0
1990_february_7_816671468053053986_conformed-copy--l3136--industrial-finance-project--loan-agreement-3.txt,1990,25000000.0,morocco,northern africa,72.45691039799999,2549.079953,94.587634282,39.2,-1.1679999999999997,33241259.0,446550.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,5.0
1990_february_7_995471468120545067_conformed-copy--l3136--industrial-finance-project--loan-agreement-4.txt,1990,40000000.0,morocco,northern africa,72.45691039799999,2549.079953,94.587634282,39.2,-1.1679999999999997,33241259.0,446550.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,5.0
1990_january_10_784351468234894668_conformed-copy--l3130--third-agricultural-research-project--loan-agreement.txt,1990,47000000.0,brazil,latin amer. & carib,87.475116,6701.208954,71.40443267799999,60.5,-1.3299999999999998,188078227.0,8511965.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1990_january_11_125511468051878371_conformed-copy--l3145--highway-rehabilitation-and-improvement-project--loan-agreement.txt,1990,83200000.0,malaysia,asia (ex. near east),98.969122312,6818.401981999999,97.588589482,52.9,-0.6799999999999999,24385858.0,329750.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,6.0
1990_january_11_891941468049466312_conformed-copy--l3139--rubber-industry-smallholders-development-authority-project--loan-agreement.txt,1990,71000000.0,malaysia,asia (ex. near east),98.969122312,6818.401981999999,97.588589482,52.9,-0.6799999999999999,24385858.0,329750.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1990_january_19_603521468295511275_conformed-copy--l3146--second-municipal-development-project--loan-agreement.txt,1990,40000000.0,philippines,asia (ex. near east),71.52000000000001,2665.119919,93.57389832,38.7,-1.236,89468677.0,300000.0,0.0,0.0,0.0,0.0,0.9999940170096616,0.0,0.0,0.0,0.0,0.0,0.0,4.0
