Filename,Year,loan_amount,Country,Region,Elec,GDPpC,Lit,Gini,Stability,0,1,2,3,4,5,6
1990_february_2_586931468145152507_conformed-copy--c2078--rural-electrification-project--loan-agreement.txt,1990,123000000,pakistan,asia (ex. near east),69.21742182,1923.528757,36.55128984,33.2,-0.865436102,0.753161848,0.064254023,0.049827669,0.040965371,0.034797076,0.03024626,0.026747745
1990_february_2_954651468026689066_conformed-copy--l3103--fourth-power-project--loan-agreement.txt,1990,165000000,egypt,northern africa,95.00887766,3713.488846,50.70230878,32,0.267345048,0,0,0,0,0,0,0.983023345
1990_february_4_788911468053944931_conformed-copy--l3159--interest-support-loan--loan-agreement.txt,1990,1260000000,mexico,latin amer. & carib,94.96987586,8081.835772,87.55615234,59.6,-0.221443557,0,0,0,0.516142964,0.47669366,0,0
1990_february_7_165011468011151104_conformed-copy--l3143--financial-markets-project--loan-agreement.txt,1990,130000000,chile,latin amer. & carib,92.257427,4511.172098,93.45639953,57.2,0.791901491,0.010656503,0.968250573,0,0,0,0,0
1990_february_7_214111468059951800_conformed-copy--l3136--industrial-finance-project--loan-agreement-2.txt,1990,12000000,morocco,northern africa,51.14592464,2549.079953,37.4213851,39.2,-0.1057918,0.015436963,0.954125404,0,0,0,0,0
1990_february_7_236061468274189148_conformed-copy--l3136--industrial-finance-project--loan-agreement-6.txt,1990,5000000,morocco,northern africa,51.14592464,2549.079953,37.4213851,39.2,-0.1057918,0.015461055,0.954101264,0,0,0,0,0
1990_february_7_408261468059043876_conformed-copy--l3136--industrial-finance-project--loan-agreement-5.txt,1990,12000000,morocco,northern africa,51.14592464,2549.079953,37.4213851,39.2,-0.1057918,0.015430356,0.95413202,0,0,0,0,0
1990_february_7_484641468287378263_conformed-copy--l3136--industrial-finance-project--loan-agreement-7.txt,1990,9000000,morocco,northern africa,51.14592464,2549.079953,37.4213851,39.2,-0.1057918,0.015436229,0.95412606,0,0,0,0,0
1990_february_7_816671468053053986_conformed-copy--l3136--industrial-finance-project--loan-agreement-3.txt,1990,25000000,morocco,northern africa,51.14592464,2549.079953,37.4213851,39.2,-0.1057918,0.015458599,0.954103708,0,0,0,0,0
1990_february_7_995471468120545067_conformed-copy--l3136--industrial-finance-project--loan-agreement-4.txt,1990,40000000,morocco,northern africa,51.14592464,2549.079953,37.4213851,39.2,-0.1057918,0.01543697,0.954125345,0,0,0,0,0
