proj_name,countries,max_country,world_region
"2014_september_8_631351468333069662_official-documents-loan-agreement,-l8421-ph-closing-package.txt","[['philippines', 'united states'], [6, 4]]",philippines,asia (ex. near east)
1995_august_22_769041468219902151_china--ertan-ii-hydroelectric-project-_-loan-3933--loan-agreement--conformed.txt,"[['china', 'united states'], [4, 1]]",china,asia (ex. near east)
2019_july_10_503861563389955150_official-documents-loan-agreement-for-loan-8950-ro-closing-package.txt,"[['oman', 'romania', 'united states'], [27, 27, 1]]",oman,near east
1994_july_5_410701468286275874_paraguay--private-sector-development-project-_-loan-3774--loan-agreement--conformed.txt,"[['chile', 'paraguay', 'united states'], [1, 10, 1]]",paraguay,latin amer. & carib
1995_april_9_977601468041486510_china--liaoning-environment-project-_-loan-3781--loan-agreement--conformed.txt,"[['china', 'united states'], [3, 1]]",china,asia (ex. near east)
"2013_november_27_855381468101390630_official-documents-loan-agreement,-l8255-yf-closing-package.txt","[['serbia', 'united states'], [8, 1]]",serbia,eastern europe
2019_july_23_376401564685326110_official-documents-loan-agreement-for-loan-8983-ao-closing-package.txt,"[['angola', 'united states'], [5, 1]]",angola,sub-saharan africa
2014_november_3_461801468202742462_official-documents-loan-agreement-for-loan-8429-al-closing-package.txt,"[['albania', 'iran', 'united states'], [11, 3, 1]]",albania,eastern europe
1993_december_23_573261468018054340_colombia--natural-resource-management-program-_-loan-3692--loan-agreement--conformed.txt,"[['colombia', 'ecuador', 'india', 'panama', 'united states'], [14, 1, 2, 1, 1]]",colombia,latin amer. & carib
2014_july_10_423481468092636590_official-documents-loan-agreement-for-loan-8340-yf-closing-package.txt,"[['serbia', 'united states'], [11, 1]]",serbia,eastern europe
2019_june_27_550721572623128776_official-documents-loan-agreement-for-loan-8945-in-closing-package.txt,"[['india', 'united states'], [7, 2]]",india,asia (ex. near east)
1995_june_20_815091468019446949_china--inland-waterways-project-_-loan-3910--loan-agreement--conformed.txt,"[['china', 'united states'], [4, 1]]",china,asia (ex. near east)
"2014_february_28_610351468018669485_official-documents-loan-agreement,-l8311-cn-closing-package.txt","[['china', 'united states'], [6, 1]]",china,asia (ex. near east)
2014_july_24_229501468080931452_official-documents-loan-agreement-for-loan-8306-pe-closing-package.txt,"[['peru', 'united states'], [12, 2]]",peru,latin amer. & carib
2019_may_7_161411557762185021_official-documents-loan-agreement-for-loan-8930-yf-closing-package.txt,"[['albania', 'macedonia', 'serbia', 'united states'], [6, 6, 6, 1]]",albania,eastern europe
1990_october_4_969691468033278080_india--andhra-pradesh-cyclone-emergency-reconstruction-project-_-credit-2179--loan-agreement--conformed.txt,"[['india', 'united states'], [5, 2]]",india,asia (ex. near east)
2019_october_24_342391574201578264_official-documents-loan-agreement-for-loan-9007-ar-closing-package.txt,"[['jordan', 'united states'], [1, 2]]",united states,northern america
1995_may_23_505851468308076292_ukraine--seed-development-project-_-loan-3891--loan-agreement--conformed.txt,"[['oman', 'ukraine', 'united states'], [1, 5, 1]]",ukraine,c.w. of ind. states
1995_june_8_230091468253814724_kazakhstan--structural-adjustment-loan-_-loan-3900--loan-agreement--conformed.txt,"[['kazakhstan', 'united states'], [4, 2]]",kazakhstan,c.w. of ind. states
1994_december_8_649711468046737931_lithuania--klaipeda-environment-project-_-loan-3816--loan-agreement--conformed.txt,"[['finland', 'lithuania', 'sweden', 'united states'], [2, 6, 1, 1]]",lithuania,baltics
2016_december_20_345741482941719242_official-documents-loan-agreement-for-loan-8665-ro-closing-package.txt,"[['czech republic', 'hungary', 'oman', 'romania', 'slovakia', 'united states'], [2, 2, 7, 7, 1, 1]]",oman,near east
1994_february_3_700461468332717216_philippines--leyte-cebu-geothermal-project-_-loan-3702--pnoc--loan-agreement--conformed.txt,"[['philippines', 'united states'], [2, 1]]",philippines,asia (ex. near east)
