Country Name,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Brunei Darussalam,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
Bulgaria,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
Burkina Faso,..,..,..,6.1,6.125010014,6.625332832,7.122936249,7.617139816,8.107264519,6.9,9.071893692,9.544128418,10.00807476,11.4,10.90639877,11.33857822,11.76162434,12.18161964,12.60480118,12.63,13.1,14.89940453,15.16293812,15.40517426,19.2,16.07070351,16.6396122,17.21655655,14.4,18.3791523
Burundi,..,..,..,..,..,..,..,..,3.9,2.070949316,2.439689159,2.801317215,3.154657125,3.498532534,3.831767321,3.207317073,2.66,4.775167942,4.8,5.40973711,5.3,6.106936455,6.5,6.9,7,8.403089523,9.251799583,9.3,10.59861469,11.0647974
Cabo Verde,..,..,..,..,..,..,..,..,..,..,..,..,58.6,63.26335907,65.22930145,67,69.12872314,71.07081604,73.01609802,74.97080231,81.1,79.46784973,80.95207977,82.99486542,85.05774689,87.13669586,89.22769928,91.32674408,93.42980957,95.53353882
Cambodia,..,..,..,..,..,..,..,..,18.67,8.820036888,16.6,15.44084358,18.73940277,19.3,25.30695152,20.5,31.83140182,35.08600998,26.4,41.61101913,31.1,48.19865799,51.52984238,54.88513947,56.1,68.84770203,76.62667847,89.07,91.83401489,93
Cameroon,..,29,32.69752502,33.84919357,34.99950409,36.14777374,37.29332352,38.4354744,40.7,40.70677567,41,46.2,44.06614304,45.16857147,47.1,47.34048462,49,48.2,50.55054855,51.63109589,52.72730255,53.7,54.98992157,56.15855408,56.8,58.55207825,59.76893234,60.99382401,62.2,63.45231247
Canada,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
Cayman Islands,99.84692383,99.8788147,99.91024017,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
Central African Republic,..,..,..,..,..,3,3.334915638,3.830210209,4.321425438,4.807798386,6,5.761561871,6.226599216,6.682172775,7.127105236,7.560374737,7.805169325,8.40559864,7.48,9.263563156,9.8,10.3107233,10.89428234,11.45654297,12.05214119,12.74572849,13.49867058,14.16905403,14.6539526,14.3
Chad,..,..,..,..,..,..,..,2.3,2.420387268,2.806213379,3.186103821,3.558882475,3.923372984,4.278398991,3.5,4.955507278,5.279097557,5.599637032,5.923361301,6.256507397,6.4,8.98,7.859260082,8.115847588,8.405773163,7.7,9.240955353,10.9,10.12151718,8.4
Channel Islands,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
Chile,92.257427,94.78162384,94.560057,95.27372742,95.51807404,95.76038361,95.617315,96.23616791,97.241124,96.69554901,97.938687,97.13110352,97.33703613,98.782325,97.71933746,97.89350891,99.368108,98.22052002,98.38568878,99.593662,99.64228821,99.588193,100,99.6,100,99.714844,100,99.7,100,100
China,..,..,..,..,..,..,..,..,..,..,96.93087006,97.21321869,97.4872818,97.75187683,98.00583649,98.2481308,98.48129272,98.71140289,98.94470215,99.18741608,99.7,99.85722351,99.96487427,99.99700928,100,100,100,100,100,100
Colombia,89.9,91.83665466,92.13265991,92.42799377,92.72196198,91.2,93.30310059,93.58891296,93.87064362,94.1475296,95.2,98.47,94.93788147,95.18396759,95.41941833,96.8,95.85785675,96.06945801,96.806763,96.057229,96.788995,96.6936,97.032176,97.779418,97.790938,98.186898,98.4,98.5,98.5,99.7662735
Comoros,..,..,..,..,..,..,28.9,32.76241302,35.0945282,37.42180252,39.74314117,42.05736542,44.8,46.65977859,48.94561005,51.21978378,53.48482132,55.7468071,58.01197815,60.2865715,70.18231201,69.60940552,69.3,69.59020996,71.97298431,74.37182617,76.78272247,79.20166016,81.6246109,84.04824066
"Congo, Dem. Rep.",..,..,..,..,..,..,..,..,..,..,6.7,7.160378456,7.820706367,8.471570015,9.111793518,6,10.35978127,15.2,11.59572029,12.22470379,12.86934471,13.53587914,15.4,14.94590092,13.5,16.43629265,17.20158195,18.0063858,18.75225258,19.1
"Congo, Rep.",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,33.8,34.91806793,35.86069107,36.80649567,37.1,39.96152115,40.80084991,41.6,42.42240524,43.255867,44.18732071,45.1781311,46.12187958,47.22546768,48.32972336
Costa Rica,..,..,..,..,..,..,..,..,..,..,96.94,98.24978,98.509188,98.695902,98.954779,99.053051,99.147523,99.217998,99.263937,99.409804,98.995734,99.232348,99.503298,99.563517,99.359291,99.409804,99.5,99.6,99.7,99.71
cote d'ivoire,..,..,..,..,36.5,43.63125229,44.64821243,45.66176987,46.67124557,48.2,48.67458344,49.66616821,51.4,51.62330627,52.58650208,58.9,60.17105263,55.41978073,60.3,57.31427383,58.28188705,55.8,55.8,61.32735825,61.9,62.6,64.3,65.6,67.17237091,68.55010986
Croatia,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
Cuba,..,..,..,..,..,..,..,..,..,..,97,96.21989441,95.5,96.55662537,96.70960999,96.85093689,96.98313141,97.11227417,97.24460602,97.38635254,97.54376221,97.72306824,97.92878723,98.15862274,98.40854645,98.67454529,98.95259857,99.23869324,99.52880096,99.8
Curacao,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,99.99783325,99.98529816,99.9539032,99.90898132,100,100,100,100,100,100,100,100,100,100
Cyprus,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
