,x,y
1995_march_3_640721468273665390_conformed-copy--l3828--pusan-urban-transport-management-project--loan-agreement.txt,22.8058,-47.843296
2010_july_20_264201468017669064_loan-agreement-for-loan-7899-cn-conformed.txt,-3.6812046,-20.161888
1999_january_21_738661468332674245_conformed-copy--l4435--structural-adjustment-loan--loan-agreement.txt,-20.088018,50.113472
1991_august_16_194091468053967727_conformed-copy--l3365--financial-sector-development-project--loan-agreement-5.txt,8.179882,30.221584
"2012_november_23_803261468033339724_official-documents-loan-agreement,-l8209-id-closing-package.txt",-29.287714,39.075737
1998_july_31_963541468224080088_conformed-copy--l4354--irrigated-agriculture-intensification-ii-project--loan-agreement.txt,18.141256,-22.069431
1994_march_11_797211468146706361_conformed-copy--l3700--leyte-cebu-geothermal-project--npc--loan-agreement-2.txt,57.752445,27.164904
1990_march_29_641961468233042923_conformed-copy--l3162--fourth-small-scale-enterprise-project--loan-agreement.txt,-6.0041733,22.791218
1993_june_9_943021468057562914_conformed-copy--l3607--second-irrigation-operations-support-project--loan-agreement.txt,18.787949,-20.586199
2011_october_26_554391468248698391_official-documents-loan-agreement-for-loan-8080-co-closing-package.txt,-24.338245,58.08417
"2007_august_7_619471468034864932_loan-agreement,-l4860-in-conformed.txt",15.22756,-70.42136
1999_july_6_606771468276557081_conformed-copy--l3256--national-agricultural-extension-and-adaptive-research-project--loan-agreement.txt,-10.594082,-22.913418
"2004_september_17_655131468042937533_loan-agreement,-l7228-jo--conformed.txt",22.966677,-63.257862
2014_july_10_686011468094190095_official-documents-loan-agreement-for-loan-8338-yf-closing-package.txt,-43.1484,-25.689478
2016_november_9_325051486056531744_official-documents-loan-agreement-for-loan-8640-ba-closing-package.txt,12.758421,-66.0542
2012_december_6_897641468018004232_official-documents-loan-agreement-for-loan-8185-br-closing-package.txt,18.553482,-53.64492
1991_january_8_493291468003299558_conformed-copy--l3212--industrial-restructuring-demonstration-project--emb--loan-agreement.txt,37.072777,11.006822
"2012_december_25_624321468116065532_official-documents-loan-agreement,-l8224-ua-closing-package.txt",-13.803646,68.904106
